Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclMethod,CountDeclClass
Protected Method,"br.ufc.pds.controller.ControlBancoImobiliario.alterarPosicaoDoJogador",,,1,1,0,,,,,10,4,,
Private Method,"br.ufc.pds.controller.ControlBancoImobiliario.compararDadosIguais",,,2,1,1,,,,,6,0,,
Private Method,"br.ufc.pds.controller.ControlBancoImobiliario.corUsada",,,5,5,2,,,,,13,0,,
Private Method,"br.ufc.pds.controller.ControlBancoImobiliario.executaAcaoCampo",,,3,1,2,,,,,13,0,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.getCores",,,3,1,2,,,,,10,0,,
Public Static Method,"br.ufc.pds.controller.ControlBancoImobiliario.getInstance",,,2,1,1,,,,,4,0,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.getJogadoresAtivos",,,1,1,0,,,,,3,0,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.getJogadoresPresos",,,1,1,0,,,,,3,0,,
Protected Method,"br.ufc.pds.controller.ControlBancoImobiliario.getNome",,,1,1,0,,,,,3,0,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.getNumJogadores",,,1,1,0,,,,,3,0,,
Private Method,"br.ufc.pds.controller.ControlBancoImobiliario.iniciarRodada",,,4,1,2,,,,,20,0,,
Lambda Method,"br.ufc.pds.controller.ControlBancoImobiliario.iniciarRodada.(lambda_expr_1)",,,2,1,0,,,,,15,0,,
Private Method,"br.ufc.pds.controller.ControlBancoImobiliario.jogadorPresoRealizaTurno",,,1,1,0,,,,,4,0,,
Private Method,"br.ufc.pds.controller.ControlBancoImobiliario.jogadorRealizaTurno",,,3,1,2,,,,,14,1,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.jogar",,,3,1,1,,,,,13,1,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.prenderJogador",,,1,1,0,,,,,4,1,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.renderizarTelaPrincipal",,,5,1,1,,,,,13,0,,
Lambda Method,"br.ufc.pds.controller.ControlBancoImobiliario.renderizarTelaPrincipal.(lambda_expr_1)",,,3,1,0,,,,,6,0,,
Lambda Method,"br.ufc.pds.controller.ControlBancoImobiliario.renderizarTelaPrincipal.(lambda_expr_2)",,,1,1,0,,,,,3,0,,
Private Method,"br.ufc.pds.controller.ControlBancoImobiliario.setJogadorDaVez",,,1,1,0,,,,,4,0,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.setNumJogadores",,,1,1,0,,,,,4,0,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.soltarJogador",,,1,1,0,,,,,4,1,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.update",,,3,1,1,,,,,15,0,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.validarConstrucaoCasa",,,5,1,3,,,,,14,0,,
Lambda Method,"br.ufc.pds.controller.ControlBancoImobiliario.validarConstrucaoCasa.(lambda_expr_1)",,,4,1,0,,,,,10,0,,
Public Class,"br.ufc.pds.controller.ControlCampos",50,1,5,,0,1,0,1,5,69,0,5,
Public Constructor,"br.ufc.pds.controller.ControlCampos.ControlCampos",,,1,1,0,,,,,2,0,,
Public Method,"br.ufc.pds.controller.ControlCampos.criarCampos",,,1,1,0,,,,,43,0,,
Private Method,"br.ufc.pds.controller.ControlCampos.inserirCampoEspecial",,,1,1,0,,,,,3,0,,
Private Method,"br.ufc.pds.controller.ControlCampos.inserirCompania",,,1,1,0,,,,,3,0,,
Private Method,"br.ufc.pds.controller.ControlCampos.inserirTerreno",,,1,1,0,,,,,14,0,,
Public Class,"br.ufc.pds.controller.ControlPagamentos",0,1,11,,2,1,0,1,7,45,0,7,
Private Static Method,"br.ufc.pds.controller.ControlPagamentos.getNome",,,1,1,0,,,,,3,0,,
Private Static Method,"br.ufc.pds.controller.ControlPagamentos.messageNPagou",,,1,1,0,,,,,3,0,,
Private Static Method,"br.ufc.pds.controller.ControlPagamentos.messagePagou",,,1,1,0,,,,,3,0,,
